model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
RidgeCV,arousal,lag_0,0.023979993740161853,0.19924187882444022,-0.08218850927902285,0.13014849675934656,-0.001364074154691114,1.015775239446699,0.5265834467910588,16
Ensemble,arousal,lag_0,0.009559533605996227,0.19624272117235309,-0.09501083110953801,0.11412989832153045,0.005916162434863793,0.9478927064522046,0.44486637690590086,16
CatBoost,arousal,lag_0,0.006178226213458437,0.15994237861615318,-0.07904905134081078,0.09140550376772766,0.009383053765603923,0.9661493359311263,0.37155305931698257,16
SVR,arousal,lag_0,0.0042794838100261995,0.20789034113043078,-0.10649745947213113,0.11505642709218353,-3.359271750263959e-05,1.0859680404682082,0.7557266355062484,16
MeanBaseline,arousal,lag_0,1.159555450305474e-31,4.949121503104379e-31,-1.4776452443719518e-31,3.7967561449829e-31,,0.8897028100929558,7.605852161978555e-16,16
XGBoost,arousal,lag_0,-0.018180700924878827,0.14455558247839584,-0.09520893357028884,0.05884753172053118,-0.04910381675380497,0.9633080605300508,0.4142518896515452,16
MeanBaseline,valence,lag_0,4.382214333004357e-31,1.1442227609083539e-30,-1.714918376387505e-31,1.0479347042396218e-30,,0.7113733932475386,1.0142696010701564e-15,16
RidgeCV,valence,lag_0,-0.02872810395555746,0.07861375687181454,-0.07061841804534251,0.013162210134227591,-0.07759495031995742,0.8239604965878723,0.420241929539733,16
Ensemble,valence,lag_0,-0.03268122206052253,0.06925074824343612,-0.06958234102880129,0.004219896907756225,-0.09570965843567955,0.7989727444565322,0.26957913721527726,16
CatBoost,valence,lag_0,-0.03698122609228932,0.09162017264675484,-0.0858021699302874,0.011839717745708758,-0.06830251168018936,0.8255930502379786,0.3205649205411415,16
SVR,valence,lag_0,-0.04099069436358803,0.06473159332769582,-0.07548372565900008,-0.0064976630681759864,-0.09540181878520969,0.8065258969979978,0.28273363904748217,16
XGBoost,valence,lag_0,-0.045452727551916705,0.09120492515132574,-0.09405240161855803,0.0031469465147246217,-0.0922833703635385,0.828189182175409,0.3712594861540091,16
